('2017-04-14 22:07:05', 'RT @Benzinga: Jim Cramer: Forget Bank Earnings Focus On Facebook https://t.co/kiGo1CrNL3 $C $FB $JPM')
('2017-04-14 22:05:16', 'Are you #SearchMarketing today? #this is the #top #list #website https://t.co/SOm8rjvuBZ $msft $xle $efa $jpm $csco #CES2018 #AI')
('2017-04-14 22:04:01'," 'RT @StkConfidential: Last week\'s watch list stock Western Digital $WDC up 2% in pre-mkt on $JPM ""overweight"" rating and price target increaäó_')"
('2017-04-14 22:03:02', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ')
('2017-04-14 21:50:03', 'Convincing End to Bullish Divergence for S&amp;P 500 https://t.co/F1eZD34hLx $SPY $QQQ $AMZN #VIX $XLF $IWM $AUDJPY $CMG $SHLD #AT40 $SVXY $JPM')
('2017-04-14 21:27:26', 'RT @VistaPResearch: Big bank earnings getting a boost from trading IPOs M&amp;A and cost cutting $JPM $XLF  https://t.co/Iy1khU1S6e')
('2017-04-14 21:25:19', 'RT @Benzinga: Jim Cramer: Forget Bank Earnings Focus On Facebook https://t.co/kiGo1CrNL3 $C $FB $JPM')
('2017-04-14 21:23:11', 'Benzinga: Jim Cramer: Forget Bank Earnings Focus On Facebook https://t.co/gwjy4Siupc $C $FB $JPM')
('2017-04-14 21:14:41', 'Jim Cramer: Forget Bank Earnings Focus On Facebook https://t.co/kiGo1CrNL3 $C $FB $JPM')
('2017-04-14 20:48:21', 'JP Morgan - Heavy Accumulation Of Precious Metals In April $JPM $GLD $SLV https://t.co/QtaGZ1FY2f')
('2017-04-14 20:37:03', 'RT @SeekingAlpha: Wells Fargo: Better Opportunities Exist https://t.co/yYso5SE3s5 $C $JPM $WFC')
('2017-04-14 20:36:50', 'Wells Fargo: Better Opportunities Exist https://t.co/IP9RfFfjIR $C $JPM $WFC')
('2017-04-14 20:35:10', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/fhMmdjxaHM $efa $jpm $csco #FridayFeeling')
('2017-04-14 20:29:33', 'RT @charliebilello: Bank stocks end the week at 4-month lows. Post-election euphoria wearing off. $JPM $C $BAC $MS $GS $WFC https://t.co/SHäó_')
('2017-04-14 20:27:06', 'RT @theflynews: On The Fly: Top stock stories for Thursday $JPM $WFC $C $AAOI $TSLA $SKYW $DXCM $AAPL $PIR $INFY https://t.co/n22MvU0jIo')
('2017-04-14 20:25:57', '$JPM Exclusive: Quicken Loans focuses on space for potential big 1000-worker move... https://t.co/JZ2GjsafBN')
('2017-04-14 20:24:13', 'Wells Fargo: Better Opportunities Exist $C $JPM $WFC https://t.co/7xdPv485Xp #Investing #Stocks https://t.co/ynPZkBLcHw')
('2017-04-14 20:22:18', 'Wells Fargo: Better Opportunities Exist https://t.co/yYso5SE3s5 $C $JPM $WFC')
('2017-04-14 20:04:36', '$TNX vs $XLF. If you are trading banks. $JPM $C $GS $BAC etc watch this. I have been and still am bearish banks. https://t.co/rWnMJL8y57')
('2017-04-14 20:01:18', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/Yycairc0fy $efa $jpm $csco #FridayFeeling')
('2017-04-14 19:55:08', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/vT9HmoiNbp $efa $jpm $csco #FridayFeeling')
('2017-04-14 19:52:25', 'Dramatic growth in non-bank lending continues. FHA mortgage on a tear... from $JPM annual report https://t.co/QNGpTx7djl')
('2017-04-14 19:50:11', '#achieve your #goals by #setting #objectives that will #grow your #brand https://t.co/SOm8rjvuBZ $efa $jpm $csco #FridayFeeling')
('2017-04-14 19:33:14', '$JPM $C $SYNT $SKX:\n\nEarnings Seasonäó»s Back: Stocks With Big Upside:\n\nhttps://t.co/We8nLy869P')
('2017-04-14 19:13:16', 'RT @Chase: $JPM reports 1Q17 net income of $6.4B $1.65 EPS on revenue of $25.6B; ROTCE of 13%. https://t.co/DkixRg0t3h')
('2017-04-14 19:12:49', 'RT @Chase: Jamie Dimon will discuss his annual letter (and more) live over at https://t.co/yc65p56ruS. $JPM #TuneIn https://t.co/2bBCnz0Umb')
('2017-04-14 19:12:46'," ""RT @Chase: Jamie Dimon's annual shareholder letter just posted. Check it out here. $JPM https://t.co/hMoVGF1Ckf"")"
('2017-04-14 18:58:17', 'barronsonline: Is it Time To Get Out of Bank Stocks? https://t.co/6CrLttp01G $JPM $WFC $C $XLF $KBE $KRE $BAC $GSäó_ https://t.co/sZiGGBev4R')
('2017-04-14 18:55:23', 'Is it Time To Get Out of Bank Stocks? https://t.co/2AzQ5bOPLM $JPM $WFC $C $XLF $KBE $KRE $BAC $GS $MS viaäó_ https://t.co/mTYGHybRAE')
('2017-04-14 18:45:49', '#JPMorgan gets away with it again. https://t.co/18TmyuknOy $JPM London Whale probe case dropped.')
('2017-04-14 18:45:25', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/fhMmdjxaHM $mon $pg $cvx $mrk $cmcsa $txn $nugt #FridayFeeling')
('2017-04-14 18:36:06', 'Key Events That Shaking Up The Market | $QCOM $INTC $UAL $JPM $WFC $C $BRK.A $BRK.B $WMT $AMZN $DAL $AAL | https://t.co/qujwsri6DN')
('2017-04-14 18:35:12', 'Will $gm $psx $ge $f $cvs become a #trilliondollar #megabrand ? https://t.co/fhMmdjxaHM $msft $xle $efa $jpm $csco #FridayFeeling')
('2017-04-14 18:32:13'," ""RT @theflynews: Week in review: How Trump's policies moved stocks $GM $IBM $WMT $TSLA $BLK $BX $BAC $C $GS $JPM $MS $WFC $AET $ANTMäó_ https:äó_"")"
('2017-04-14 18:31:54'," ""RT @GerberKawasaki: Banks are making some real money. $jpm $frc. Buffett lowers investment in $wfc for good reason. It's a dog. Looking atäó_"")"
('2017-04-14 18:25:14', '#JPMorgan $JPM #Citi $C score big gains but shareholders want more. #WSJ')
('2017-04-14 18:23:08', 'RT @marketexclusive: Analyst Activity äóñ Keefe Bruyette &amp; Woods Reiterates Market Perform on JPMorgan Chase &amp; Co. (NYSE:JPM) https://t.co/gäó_')
('2017-04-14 18:18:19', 'RT @marketexclusive: Analyst Activity äóñ Keefe Bruyette &amp; Woods Reiterates Market Perform on JPMorgan Chase &amp; Co. (NYSE:JPM) https://t.co/gäó_')
('2017-04-14 18:10:14', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/Yycairc0fy $mon $pg $cvx $mrk $cmcsa $txn $nugt #FridayFeeling')
('2017-04-14 18:08:32', 'RT @AmyDaniel212: Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/vT9HmoiNbp $mon $pg $cvx $mrk $cmcsa $txn $nugt #FridayFäó_')
('2017-04-14 18:05:38', 'RT @AmyDaniel212: Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/vT9HmoiNbp $mon $pg $cvx $mrk $cmcsa $txn $nugt #FridayFäó_')
('2017-04-14 18:05:14', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/vT9HmoiNbp $mon $pg $cvx $mrk $cmcsa $txn $nugt #FridayFeeling')
('2017-04-14 18:01:57', 'JPMorgan Chase &amp; Co. $JPM Rating Reiterated by Keefe Bruyette &amp; Woods https://t.co/AZQR8IriX4')
('2017-04-14 18:01:22', 'Will $gm $psx $ge $f $cvs become a #trilliondollar #megabrand ? https://t.co/Yycairc0fy $msft $xle $efa $jpm $csco #FridayFeeling')
('2017-04-14 18:01:22', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/SOm8rjvuBZ $mon $pg $cvx $mrk $cmcsa $txn $nugt #FridayFeeling')
('2017-04-14 18:00:28', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/Ybiäó_')
('2017-04-14 17:59:26', 'RT @OphirGottlieb: Trump is set to blow out bank regulations and that means banks have an especially compelling option trade https://t.co/äó_')
('2017-04-14 17:58:04', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/YbizBdE2NH')
('2017-04-14 17:55:08', 'Will $gm $psx $ge $f $cvs become a #trilliondollar #megabrand ? https://t.co/vT9HmoiNbp $msft $xle $efa $jpm $csco #FridayFeeling')
('2017-04-14 17:54:29', 'RT @OphirGottlieb: Trump is set to blow out bank regulations and that means banks have an especially compelling option trade https://t.co/äó_')
('2017-04-14 17:53:55', 'Trump is set to blow out bank regulations and that means banks have an especially compelling option tradeäó_ https://t.co/qSLz8wQJCc')
('2017-04-14 17:53:17'," ""RT @theflynews: Week in review: How Trump's policies moved stocks $GM $IBM $WMT $TSLA $BLK $BX $BAC $C $GS $JPM $MS $WFC $AET $ANTMäó_ https:äó_"")"
('2017-04-14 17:50:12', 'Will $gm $psx $ge $f $cvs become a #trilliondollar #megabrand ? https://t.co/SOm8rjvuBZ $msft $xle $efa $jpm $csco #FridayFeeling')
('2017-04-14 17:49:52'," ""Here's why $JPM Sapphire Reserve is killing $AXP Platinum. https://t.co/Z3bRzUgJkN"")"
('2017-04-14 17:47:03', 'Highest number of trades within 1 second on 4/13: $JPM with 559 trades between 13:07:19.016 and 13:07:20.015')
('2017-04-14 17:38:35', 'Can Facebook Grow Without PORN FAKE Profiles &amp; Click Bait Notifications? $DIS $DIS $FB $GM $GE $GM $TSLA $JPM $BACäó_ https://t.co/5gj8GmdU89')
('2017-04-14 17:20:06', 'Analyst Activity äóñ Keefe Bruyette &amp; Woods Reiterates Market Perform on JPMorgan Chase &amp; Co. (NYSE:JPM) https://t.co/gOqO3Tep7s $JPM')
('2017-04-14 17:17:44', 'Thurs bottom of range: $AA $AAPL $ADBE $BAC $CRM $CSCO $CY $F $IBM $INTC $JBLU $JPM $KR $MDLZ $MON $MSFT $NVDA $UAL $UNP $WFC $WMT $X 0')
('2017-04-14 17:17:18'," ""RT @theflynews: Week in review: How Trump's policies moved stocks $GM $IBM $WMT $TSLA $BLK $BX $BAC $C $GS $JPM $MS $WFC $AET $ANTMäó_ https:äó_"")"
('2017-04-14 17:14:06'," ""Week in review: How Trump's policies moved stocks $GM $IBM $WMT $TSLA $BLK $BX $BAC $C $GS $JPM $MS $WFC $AET $ANTMäó_ https://t.co/MksUo6sNXh"")"
('2017-04-14 17:12:01', 'RT @WhizCheck6: [FMWU] WW3 or Easter Peace? Hedges On! https://t.co/V1mNUL4H90 $SPX $SPY bear put spread $SDS bullish double vertical $JPMäó_')
('2017-04-14 17:11:11', '$JPM Keefe Bruyette &amp; Woods reiterates Market Perform rating https://t.co/5uvZHng0fl')
('2017-04-14 17:02:56', 'RT @ProfectuSystems: Grow your wealth with @ProfectuSystems trading models. $AAPL $AMZN $NFLX $GOOGL $TSLA $MSFT $VIX $SPY $VXX $UVXY $IBMäó_')
('2017-04-14 17:02:47'," ""RT @tradewithjoe: Can't stress thia enough. Have been bearish before ER and still bearish longer term. $JPM https://t.co/jj322Qxnif"")"
('2017-04-14 16:59:00'," ""Can't stress thia enough. Have been bearish before ER and still bearish longer term. $JPM https://t.co/jj322Qxnif"")"
('2017-04-14 16:57:54'," 'RT @Chase: Take a tour of our ""branch of the future"" model on display at #InvestorDay. $JPM\nhttps://t.co/Yj5JSF5hSI')"
('2017-04-14 16:54:07', 'RT @presvnconsv: Dimon $JPM nostalgic for pre-crisis mtg market bc too much regulation high lending standards now https://t.co/ERk1iLe9y6')
('2017-04-14 16:45:20'," ""Don't give up. We believe in you. https://t.co/fhMmdjxaHM #entrepreneur #motivation $msft $xle $efa $jpm $csco #FridayFeeling"")"
('2017-04-14 16:44:48'," ""RT @AmyDaniel212: Don't give up. We believe in you. https://t.co/vT9HmoiNbp #entrepreneur #motivation $msft $xle $efa $jpm $csco #FridayFeeäó_"")"
('2017-04-14 16:42:23'," ""#JPMorganChase J.P. Morgan Asset Management's assets rise 4% in quarter sees inflows of $9 ... Read more: https://t.co/80iCdf5Y4G $JPM"")"
('2017-04-14 16:42:16', '[FMWU] WW3 or Easter Peace? Hedges On! https://t.co/V1mNUL4H90 $SPX $SPY bear put spread $SDS bullish double vertical $JPM $C earnings shrug')
('2017-04-14 16:39:13'," ""JPMorgan Chase &amp; Co.'s market perform rating reiterated at Keefe Bruyette &amp; Woods. https://t.co/SAWHWa3l8w $JPM #JPM"")"
('2017-04-14 16:31:15'," ""JPMorgan Chase &amp; Co.'s market perform rating reiterated at Keefe Bruyette &amp; Woods. https://t.co/DLCj7lQ4D9 $JPM #JPM"")"
('2017-04-14 16:22:04', 'RT @tradewithjoe: Forget what banks $XLF report. $TNX matters most. $JPM $BAC $C $GS $WFC $MS https://t.co/sUNdE3cHXJ')
('2017-04-14 16:19:37', 'RT @ProfectuSystems: Grow your wealth with @ProfectuSystems trading models. $AAPL $AMZN $NFLX $GOOGL $TSLA $MSFT $VIX $SPY $VXX $UVXY $IBMäó_')
('2017-04-14 16:18:15', '$JPM $WFC $C:\n\nBanking Analyst Dick Bove: Banks Remain Cautious on Trump äó_:\n\nhttps://t.co/ejluWCXXUr')
('2017-04-14 16:12:40', 'Grow your wealth with @ProfectuSystems trading models. $AAPL $AMZN $NFLX $GOOGL $TSLA $MSFT $VIX $SPY $VXX $UVXY $IBM $WFC $JPM $C $GS')
('2017-04-14 16:10:36'," ""Don't give up. We believe in you. https://t.co/Yycairc0fy #entrepreneur #motivation $msft $xle $efa $jpm $csco #FridayFeeling"")"
('2017-04-14 16:09:48', 'Forget what banks $XLF report. $TNX matters most. $JPM $BAC $C $GS $WFC $MS https://t.co/sUNdE3cHXJ')
('2017-04-14 16:07:32', 'RT @surinotes: $STUDY Dow30 1-Week Performance $WMT $GS $JPM $CVX https://t.co/Ze0lCw7d02')
('2017-04-14 16:07:13', 'IFRS 9: A silent revolution in banksäó» business models $XLF $GS $JPM https://t.co/u7XOpa9UYg')
('2017-04-14 16:05:26'," ""Don't give up. We believe in you. https://t.co/vT9HmoiNbp #entrepreneur #motivation $msft $xle $efa $jpm $csco #FridayFeeling"")"
('2017-04-14 16:01:55'," ""Don't give up. We believe in you. https://t.co/SOm8rjvuBZ #entrepreneur #motivation $msft $xle $efa $jpm $csco #FridayFeeling"")"
('2017-04-14 15:54:47', '$STUDY Dow30 Past week performance $JPM $CAT https://t.co/1gnkGYomj7')
('2017-04-14 15:53:40', '$STUDY Dow30 1-Week Performance $WMT $GS $JPM $CVX https://t.co/Ze0lCw7d02')
('2017-04-14 15:45:26', 'JPMorgan Results: Thank You For The Volatility Mr. Trump $JPM #stocks #Finance #Banking #earnings #jpmorgan  https://t.co/8UlJhg904f')
('2017-04-14 15:44:53'," '_Ù÷â_Ù÷â_Ù÷â_Ù÷â I call my mobile trading thumb ""Doctor Greenthumb"" these days... $JPM https://t.co/UUOpNmXbUV')"
('2017-04-14 15:44:04', 'Bank of America: Expect Mid-to-High Singles Forward Returns | $BAC $C $GS $WFC $DB $MS $JPM $BCS $CS $ALLY | https://t.co/NJjqstsgPq')
('2017-04-14 15:43:25', 'RT @420WeedStreet: $SPY @POTUS  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://‰Û_')
('2017-04-14 15:35:01', 'RT @presvnconsv: Dimon $JPM nostalgic for pre-crisis mtg market bc too much regulation high lending standards now https://t.co/ERk1iLe9y6')
('2017-04-14 15:34:26', '@cvpayne @Varneyco IF you look at $C &amp; $JPM bank business lending is UP. the bond market is being manipulated by Gundlach so he can cash out')
('2017-04-14 15:29:42', 'Large Caps Outdoing the S&amp;P | $AAPL $MSFT $AMZN $BRK.A $BRK.B $FB $JPM $BABA $BAC $V $MA $MRK $C $UNH $PEP $SQ | https://t.co/C3ymu6CDDA')
('2017-04-14 15:27:12', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-14 15:15:21', 'NEW Analysis &amp; #Signals for #BankingSector #Stocks by @tradingsafely1 &gt; $MS $JPM $GS &gt;&gt;&gt; https://t.co/EiFUKUsw7b‰Û_ https://t.co/1ebbtZCuQf')
('2017-04-14 15:03:03', 'RT @Kevin1Dobbs: Higher card auto charge-offs signal shift in credit cycle https://t.co/JyjJaapbsG $JPM $WFC @SPGMarketIntel @SNLFinancial')
('2017-04-14 14:39:22', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $PCLN https://t.co/LPRBikkWPh')
('2017-04-14 14:34:29', '$SPY @POTUS  $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY https://t.co/ZOsAZkr84f')
('2017-04-14 14:30:46', '#maximize #brand #growth #opportunities with https://t.co/fhMmdjxaHM #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-14 14:17:51', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ')
('2017-04-14 14:14:05', 'US businesses increase inventories by a modest 0.3 percent $JPM https://t.co/VGXRtNEIrq')
('2017-04-14 14:10:47'," 'RT @420WeedStreet: $SPY ""This pig needs 2b killed by his inner circle"" $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP‰Û_')"
('2017-04-14 14:03:34', 'Higher card auto charge-offs signal shift in credit cycle https://t.co/JyjJaapbsG $JPM $WFC @SPGMarketIntel @SNLFinancial')
('2017-04-14 14:00:07'," ""RT @jpmorgan: $JPM's Raghavan on what he looks for in banking talent and why #technology skills are a key differentiator. https://t.co/LlzA‰Û_"")"
('2017-04-14 13:59:28'," 'RT @jpmorgan: $JPM\'s Petno: ""We are investing in our people technology &amp; capabilities to bring differential value to clients.‰Ûù https://t.c‰Û_')"
('2017-04-14 13:59:21'," ""RT @jpmorgan: $JPM's Raghavan on what he looks for in banking talent and why #technology skills are a key differentiator. https://t.co/LlzA‰Û_"")"
('2017-04-14 13:59:16'," ""RT @jpmorgan: $JPM's Deasy tells @WSJ: Public cloud creates efficiencies and enables new #technology.  https://t.co/LHFlvRRlNI"")"
('2017-04-14 13:58:53', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-14 13:56:21'," '$SPY ""This pig needs 2b killed by his inner circle"" $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU‰Û_ https://t.co/s1ZRxLf3le')"
('2017-04-14 13:55:12', '#maximize #brand #growth #opportunities with https://t.co/Yycairc0fy #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-14 13:51:49', 'RT @AmyDaniel212: #maximize #brand #growth #opportunities with https://t.co/vT9HmoiNbp #advice #tips and #brands #expertise $jpm #CES2018 #‰Û_')
('2017-04-14 13:50:38', 'RT @420WeedStreet: $SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $NVDA $PCLN #MOA‰Û_')
('2017-04-14 13:50:27', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ')
('2017-04-14 13:50:15', '#maximize #brand #growth #opportunities with https://t.co/vT9HmoiNbp #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-14 13:50:15', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/fhMmdjxaHM $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlogs #NYC')
('2017-04-14 13:48:41', '$SPY $SPX $QQQ $IWM $GS $CMG $BAC $AAPL $BABA $C $JPM $NFLX  $BIDU $SNAP $FB $DJI $DJIA $USO $VIX $UVXY $NVDA $PCLN‰Û_ https://t.co/68RbfyqcWZ')
('2017-04-14 13:45:26', '#maximize #brand #growth #opportunities with https://t.co/SOm8rjvuBZ #advice #tips and #brands #expertise $jpm #CES2018 #AI')
('2017-04-14 13:38:57', 'RT @AmyDaniel212: #Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/vT9Hmo1bMP $jpm $xom $mon $xom $mon #FridayBl‰Û_')
('2017-04-14 13:35:36'," ""RT @LauraJKeller: Ahead of $WFC &amp; $C plus $JPM analyst call here's our @BloombergTV big-bank preview @RamyInocencio &amp; @HaidiLun https://t.‰Û_"")"
('2017-04-14 13:31:14'," ""$TSLA $ETRM $JPM $WFC $IONS $F $MDXG $CMG $WLL $DVN $NTNX $X $TMUS $EVBG $HNR $C $CRC $NE $APOG Today's LIVE trades: https://t.co/iB5eEbSAIC"")"
('2017-04-14 13:28:46'," 'RT @TN: speaking of Prof. Sornette\'s models here is a recent signal from ""bubble end flag - ST model"" for $JPM https://t.co/TDUeXdSMmI')"
('2017-04-14 13:28:29', 'Commented on Breaking Down Bank Earnings https://t.co/BVv9pS1yN6 $JPM $C $WFC')
('2017-04-14 13:25:06', 'JPMorgan Results: Thank You For The Volatility Mr. Trump https://t.co/wVkPde2w2l $JPM')
('2017-04-14 13:23:54'," ""@tweetstar10 so how do you reconcile $STZ  $DRI  $JPM and $CTAS  strong earnings ? let me guess..I'm cherry picking."")"
('2017-04-14 13:19:08', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ')
('2017-04-14 13:18:19', 'RT @AmyDaniel212: Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/vT9HmoiNbp $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBl‰Û_')
('2017-04-14 13:15:57', 'Q1 Earnings Season Ramps Up - Focus On Banks $C $JPM $WFC https://t.co/nuPvS00fPu')
('2017-04-14 13:15:21', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/Yycairc0fy $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlogs #NYC')
('2017-04-14 13:13:20', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-14 13:10:24', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/vT9HmoiNbp $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlogs #NYC')
('2017-04-14 13:09:21', 'FREE DAILY OPTION TRADE. Sign up for our DAILY FREE TRADE at https://t.co/78FVQDKYyw \n\n$LULU $UAL $WFM $NFLX $BABA $AMZN $GOOGL $C $BAC $JPM')
('2017-04-14 13:08:55', 'RT @SeekingAlpha: JPMorgan Results: Thank You For The Volatility Mr. Trump https://t.co/Bg1lCJBL6P $JPM')
('2017-04-14 13:08:14', '$JPM:\n\nJPMorgan Results: Thank You For The Volatility Mr. Trump:\n\nhttps://t.co/nw7moG1Ec8')
('2017-04-14 13:06:34', 'JPMorgan Results: Thank You For The Volatility Mr. Trump https://t.co/0NDGT3FrcY $JPM')
('2017-04-14 13:05:29', 'Is now a good time to buy $jpm $esrx $bac $ibm $mpc https://t.co/SOm8rjvuBZ $lc $aapl $hpq $hpe $f $tsla $gm $x #FridayBlogs #NYC')
('2017-04-14 13:05:07', 'JPMorgan Results: Thank You For The Volatility Mr. Trump https://t.co/upx5742lBV $JPM')
('2017-04-14 13:05:07', 'JPMorgan Results: Thank You For The Volatility Mr. Trump https://t.co/Bg1lCJBL6P $JPM')
('2017-04-14 13:00:07'," ""Today's Corporate #Earnings #stockmarket #daytrading #bolsa #NYSE\n$JPM $1.512\n$C $1.237\n$CBSH $0.649\n$FHN $0.228\n$PNC $1.838"")"
('2017-04-14 12:58:24', 'RT @AmyDaniel212: #Use #great #idea #hashtags for #SEO #SearchEngineOptimization https://t.co/vT9Hmo1bMP $jpm $xom $mon $xom $mon #FridayBl‰Û_')
('2017-04-14 12:50:28', 'BoAML on $JPM @jpmorgan - Best in class BUY $99 PT. Yeah but in broken quant market does it matter?\n\n@karenfinerman‰Û_ https://t.co/qGV5EQDtR8')
('2017-04-14 12:46:38', 'Above the 40 - The S&amp;P 500 Suffers A Convincing End To Bullish Divergence $C $CMG $JPM $SVXY $WFC $QQQ ... https://t.co/iSDqXVrDpi')
('2017-04-14 12:46:38', 'Above the 40 - The S&amp;P 500 Suffers A Convincing End To Bullish Divergence $C $CMG $JPM $SVXY $WFC $QQQ ... https://t.co/5rsvyK5ERe')
('2017-04-14 12:42:34', 'RT @jpmorgan: $JPM reports 1Q17 net income of $6.4B; $1.65 EPS on revenue of $25.6B; ROTCE of 13% https://t.co/fd6YicK60w')
('2017-04-14 12:28:15'," ""RT @FoxBusiness: JPMorgan's Dimon: Consumers strong retail tumult 'won't be a big deal' $JPM https://t.co/pcypfikwYq"")"
('2017-04-14 12:15:23', 'Never stop being creative. https://t.co/fhMmdjxaHM $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFeeling')
('2017-04-14 11:56:02'," ""#JPMorgan gives optimistic outlook! $JPM: 'U.S. #consumers and businesses are healthy'. https://t.co/SggRosphoo https://t.co/Ado0GROfDW"")"
('2017-04-14 11:53:03', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ')
('2017-04-14 11:52:43', 'RT @traderstewie: The action in $JPM today tells you all need to know about this market https://t.co/9CohkFamRZ')
('2017-04-14 11:52:25', 'JPMorgan Chase &amp; Co. $JPM Downgraded by Vetr Inc. https://t.co/vyus9l7coy')
('2017-04-14 11:48:21', 'RT @AmyDaniel212: Never stop being creative. https://t.co/vT9HmoiNbp $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayF‰Û_')
('2017-04-14 11:40:20', 'Never stop being creative. https://t.co/Yycairc0fy $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFeeling')
('2017-04-14 11:36:16', '#Earnings Reporting Season Kicks Off  $BRK-A  $BRK-B  $C  $JPM  $WFC  $TSLA  $OIL  $USO https://t.co/7P0U7t3QxS')
('2017-04-14 11:35:20', 'Never stop being creative. https://t.co/vT9HmoiNbp $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFeeling')
('2017-04-14 11:30:33', 'Never stop being creative. https://t.co/SOm8rjvuBZ $cbs $ual $msft $xle $efa $jpm $csco $hyg $nflx $vz $xom $mon #FridayFeeling')
('2017-04-14 11:29:01', 'Trading indices? Check stories for the major constituents of #SP500 $CVX $PG $JPM https://t.co/Rwpf6Sogpu https://t.co/P25rjORWqY')
('2017-04-14 11:25:18', 'RT @GillianTan: JPMorgan Citigroup and Wells Fargo keep the bank engine churning https://t.co/V3DWLnOj0V @bfly $JPM $C $WFC')
('2017-04-14 11:05:25', '$jpm $gs $C $bac I believe it would be wise to keep a a eye on these because when this pullback ends they will be the largest winners')
('2017-04-14 10:05:12', '#develop a great business #strategy at https://t.co/fhMmdjOLzk be #clear and #confident $msft $xle $efa $jpm $csco #FridayFeeling')
('2017-04-14 09:49:20', 'JPMorgan Chase &amp; Co. $JPM Stake Raised by Billings Capital Management LLC https://t.co/MOBKeYc9Ep')
('2017-04-14 09:48:52', '3818 Shares in JPMorgan Chase &amp; Co. $JPM Acquired by SRS Capital Advisors Inc. https://t.co/0aVLt1Iano')
('2017-04-14 09:48:51', 'Cheviot Value Management LLC Invests $377000 in JPMorgan Chase &amp; Co. $JPM https://t.co/F1vqQjzpBO')
('2017-04-14 09:45:26', 'JPMorgan Chase &amp; Co. $JPM Stake Raised by Billings Capital Management LLC https://t.co/XdbRFGMMdF #stocks')
